symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-05-05 00:00:00+00:00,21.8422727659,22.0367074119,21.7110879444,22.0203093092,143562000,93.24,0.57,94.07,92.68,94.0,1.0,35890500
AAPL,2016-05-06 00:00:00+00:00,21.7204582888,21.8914670739,21.5166532984,21.8727263851,174799544,92.72,0.0,93.45,91.85,93.37,1.0,43699886
AAPL,2016-05-09 00:00:00+00:00,21.7368563915,21.966429829,21.6900046696,21.7860506995,131745744,92.79,0.0,93.77,92.59,93.0,1.0,32936436
AAPL,2016-05-10 00:00:00+00:00,21.8844393156,21.9195781071,21.5775605369,21.8633560407,134747344,93.42,0.0,93.57,92.11,93.33,1.0,33686836
AAPL,2016-05-11 00:00:00+00:00,21.6712639808,21.9195781071,21.6595510503,21.8984948322,114876436,92.51,0.0,93.57,92.46,93.48,1.0,28719109
AAPL,2016-05-12 00:00:00+00:00,21.1629227978,21.7345138054,20.9591178074,21.7204582888,305258760,90.34,0.0,92.78,89.47,92.72,1.0,76314690
AAPL,2016-05-13 00:00:00+00:00,21.2050893476,21.4744867487,21.0832748705,21.0832748705,177571060,90.52,0.0,91.67,90.0,90.0,1.0,44392765
AAPL,2016-05-16 00:00:00+00:00,21.9921982761,22.111670167,21.4698015765,21.6431529476,245039024,93.88,0.0,94.39,91.65,92.39,1.0,61259756
AAPL,2016-05-17 00:00:00+00:00,21.9008374183,22.184290336,21.7883932856,22.1491515445,187667756,93.49,0.0,94.7,93.01,94.55,1.0,46916939
AAPL,2016-05-18 00:00:00+00:00,22.1514941306,22.3037622269,21.9945408622,22.0577906868,168249564,94.56,0.0,95.21,93.89,94.16,1.0,42062391
AAPL,2016-05-19 00:00:00+00:00,22.0671610311,22.1702348194,21.9195781071,22.1702348194,121768400,94.2,0.0,94.64,93.57,94.64,1.0,30442100
AAPL,2016-05-20 00:00:00+00:00,22.306104813,22.355299121,22.1421237862,22.1702348194,128103872,95.22,0.0,95.43,94.52,94.64,1.0,32025968
AAPL,2016-05-23 00:00:00+00:00,22.5895577307,22.7675942741,22.4115211874,22.4583729093,152074572,96.43,0.0,97.19,95.67,95.87,1.0,38018643
AAPL,2016-05-24 00:00:00+00:00,22.9339178869,22.9784270228,22.6856037607,22.7746220324,140560696,97.9,0.0,98.09,96.84,97.22,1.0,35140174
AAPL,2016-05-25 00:00:00+00:00,23.3368426956,23.3649537287,22.983112195,23.1142970164,154568432,99.62,0.0,99.74,98.11,98.67,1.0,38642108
AAPL,2016-05-26 00:00:00+00:00,23.5219069972,23.5968697523,23.1072692581,23.3508982122,225324636,100.41,0.0,100.73,98.64,99.68,1.0,56331159
AAPL,2016-05-27 00:00:00+00:00,23.5078514806,23.5359625138,23.2489957169,23.2946761458,145364960,100.35,0.0,100.47,99.245,99.44,1.0,36341240
AAPL,2016-05-31 00:00:00+00:00,23.3930647619,23.5195644111,23.1494358078,23.3321575234,169228848,99.86,0.0,100.4,98.82,99.6,1.0,42307212
AAPL,2016-06-01 00:00:00+00:00,23.0651027084,23.3181020068,23.0346490891,23.1962875298,116693140,98.46,0.0,99.54,98.33,99.02,1.0,29173285
AAPL,2016-06-02 00:00:00+00:00,22.8917513372,22.9198623704,22.6364094527,22.863640304,160766400,97.72,0.0,97.84,96.63,97.6,1.0,40191600
AAPL,2016-06-03 00:00:00+00:00,22.9386030591,23.0205935725,22.8285015126,22.9081494399,114019552,97.92,0.0,98.27,97.45,97.79,1.0,28504888
AAPL,2016-06-06 00:00:00+00:00,23.104926672,23.8686097395,22.8519273736,22.9550011618,93170016,98.63,0.0,101.89,97.55,97.99,1.0,23292504
AAPL,2016-06-07 00:00:00+00:00,23.1986301159,23.395407348,23.1822320132,23.25016701,89637800,99.03,0.0,99.87,98.96,99.25,1.0,22409450
AAPL,2016-06-08 00:00:00+00:00,23.177546841,23.322787179,23.1166396025,23.1962875298,83392524,98.94,0.0,99.56,98.68,99.02,1.0,20848131
